Country name,Country code,Year,Financial institution account ratio,Mobile money account ratio
Angola,AGO,2011,1.01419594,
Angola,AGO,2014,1.617978804,
Benin,BEN,2011,1.136959775,
Benin,BEN,2014,1.492456826,2.547951165
Benin,BEN,2017,1.792501009,2.098529559
Benin,BEN,2021,1.749499464,1.495623908
Botswana,BWA,2011,1.133961438,
Botswana,BWA,2014,1.148021168,1.133904465
Botswana,BWA,2017,1.202910231,1.419217915
Botswana,BWA,2022,1.242689281,1.311767396
Burkina Faso,BFA,2011,1.451437365,
Burkina Faso,BFA,2014,1.285847795,1.010568151
Burkina Faso,BFA,2017,1.303222249,1.767537627
Burkina Faso,BFA,2021,1.510706504,1.625875494
Burundi,BDI,2011,1.45421543,
Burundi,BDI,2014,1.122069361,1.264485096
Cameroon,CMR,2011,1.728774466,
Cameroon,CMR,2014,1.556293411,0.720361929
Cameroon,CMR,2017,1.370505883,1.278584145
Cameroon,CMR,2021,1.325469437,1.193973697
Central African Republic,CAF,2011,0.934163483,
Central African Republic,CAF,2017,1.860795775,
Chad,TCD,2011,1.693352383,
Chad,TCD,2014,2.935504835,1.623903139
Chad,TCD,2017,2.448010806,1.814601097
Chad,TCD,2022,1.126101558,0.970473368
Comoros,COM,2011,1.436159997,
Comoros,COM,2022,1.245913636,2.353721975
"Congo, Dem. Rep.",COD,2011,1.692636814,
"Congo, Dem. Rep.",COD,2014,1.554791517,1.481012586
"Congo, Dem. Rep.",COD,2017,1.082708357,1.375850714
"Congo, Dem. Rep.",COD,2022,1.363946171,1.878360941
"Congo, Rep.",COG,2011,1.65565487,
"Congo, Rep.",COG,2014,1.350408403,0.568402115
"Congo, Rep.",COG,2017,1.430143336,2.620598934
"Congo, Rep.",COG,2021,1.195519862,1.264674244
Cote d'Ivoire,CIV,2014,1.512344866,1.411139268
Cote d'Ivoire,CIV,2017,1.974260564,1.269067744
Cote d'Ivoire,CIV,2021,1.974439347,1.705452753
Eswatini,SWZ,2011,1.084701296,
Eswatini,SWZ,2022,1.198292115,0.863400378
Ethiopia,ETH,2014,1.077034007,0
Ethiopia,ETH,2017,1.408194938,10.2534946
Ethiopia,ETH,2022,1.442869603,1.210053013
Gabon,GAB,2011,1.208954864,
Gabon,GAB,2014,1.150512641,1.171232865
Gabon,GAB,2017,1.284801208,1.126807599
Gabon,GAB,2021,1.729564422,1.113269064
"Gambia, The",GMB,2017,1.32016933,
"Gambia, The",GMB,2022,1.444182757,1.31704373
Ghana,GHA,2011,1.17561216,
Ghana,GHA,2014,1.037869419,1.200530209
Ghana,GHA,2017,1.206840164,1.308681063
Ghana,GHA,2021,1.501105854,1.174919832
Guinea,GIN,2011,1.514825439,
Guinea,GIN,2014,2.252040234,4.061367503
Guinea,GIN,2017,1.168465158,1.781641525
Guinea,GIN,2021,1.550726536,1.565808448
Kenya,KEN,2011,1.165059539,
Kenya,KEN,2014,1.13438433,1.13566005
Kenya,KEN,2017,1.3945719,1.108371729
Kenya,KEN,2021,1.266490039,1.081408658
Lesotho,LSO,2011,1.200150828,
Lesotho,LSO,2017,1.01969857,0.788256818
Lesotho,LSO,2022,1.110964131,1.064566426
Liberia,LBR,2011,1.565815607,
Liberia,LBR,2017,2.083008695,1.280031222
Liberia,LBR,2021,1.992606828,1.243150851
Madagascar,MDG,2011,1.40906903,
Madagascar,MDG,2014,1.085180461,1.062876478
Madagascar,MDG,2017,1.390581448,1.016455415
Madagascar,MDG,2022,1.302099171,1.110211019
Malawi,MWI,2011,0.957909249,
Malawi,MWI,2014,1.500588709,2.075216723
Malawi,MWI,2017,1.627851149,1.268999435
Malawi,MWI,2021,1.41670327,1.282126679
Mali,MLI,2011,1.383948231,
Mali,MLI,2014,1.526374467,1.600278465
Mali,MLI,2017,2.723560631,1.467911971
Mali,MLI,2021,1.011123082,1.236906908
Mauritania,MRT,2011,1.927893473,
Mauritania,MRT,2014,1.178288178,0.957589112
Mauritania,MRT,2017,1.807324341,0.941705743
Mauritania,MRT,2022,2.164981277,1.945232823
Mauritius,MUS,2011,1.148300461,
Mauritius,MUS,2014,1.057345438,9.492549267
Mauritius,MUS,2017,1.067614359,1.418447449
Mauritius,MUS,2021,1.015821481,0.865083783
Mozambique,MOZ,2017,1.526291798,1.576377544
Mozambique,MOZ,2021,1.527186504,1.759357014
Namibia,NAM,2014,1.076744754,1.493016884
Namibia,NAM,2017,0.992499863,1.070543355
Namibia,NAM,2021,1.10820095,1.083140328
Niger,NER,2011,1.095647649,
Niger,NER,2014,1.732645101,2.533759465
Niger,NER,2017,1.477236605,2.288027662
Niger,NER,2022,0.963540636,2.020132822
Nigeria,NGA,2011,1.280353063,
Nigeria,NGA,2014,1.617522932,1.213039292
Nigeria,NGA,2017,1.885410674,1.854814218
Nigeria,NGA,2021,1.587483383,2.151585838
Rwanda,RWA,2011,1.327896827,
Rwanda,RWA,2014,1.505372945,1.246735084
Rwanda,RWA,2017,1.221120772,1.417925267
Senegal,SEN,2011,1.14422581,
